"","gene","doid"
"1","HGNC:12828","DOID:3571"
"2","HGNC:12435","DOID:5844"
"3","HGNC:12442","DOID:1909"
"4","HGNC:11892","DOID:9563"
"5","HGNC:12012","DOID:3969"
"6","HGNC:15979","DOID:8991"
"7","HGNC:11892","DOID:13241"
"8","HGNC:11892","DOID:13241"
"9","HGNC:12680","DOID:4483"
"10","HGNC:11909","DOID:0080162"
"11","HGNC:11892","DOID:10652"
"12","HGNC:11892","DOID:10652"
"13","HGNC:11892","DOID:0050908"
"14","HGNC:11892","DOID:0050908"
"15","HGNC:11926","DOID:5844"
"16","HGNC:12787","DOID:1618"
"17","HGNC:11989","DOID:8991"
"18","HGNC:11892","DOID:2945"
"19","HGNC:11892","DOID:2945"
"20","HGNC:11949","DOID:0080600"
"21","HGNC:12372","DOID:4195"
"22","HGNC:10781","DOID:4448"
"23","HGNC:12003","DOID:0050861"
"24","HGNC:12781","DOID:1911"
"25","HGNC:11892","DOID:8947"
"26","HGNC:11892","DOID:8947"
"27","HGNC:11892","DOID:12849"
"28","HGNC:12698","DOID:12849"
"29","HGNC:12796","DOID:1380"
"30","HGNC:12518","DOID:0080208"
"31","HGNC:12726","DOID:8947"
"32","HGNC:12680","DOID:11054"
"33","HGNC:12516","DOID:10763"
"34","HGNC:11998","DOID:9538"
"35","HGNC:12680","DOID:13241"
"36","HGNC:11947","DOID:3393"
"37","HGNC:12680","DOID:11612"
"38","HGNC:25522","DOID:2394"
"39","HGNC:17760","DOID:5052"
"40","HGNC:12680","DOID:4449"
"41","HGNC:12680","DOID:4449"
"42","HGNC:11904","DOID:3007"
"43","HGNC:17760","DOID:4033"
"44","HGNC:11892","DOID:0050426"
"45","HGNC:18081","DOID:3008"
"46","HGNC:12724","DOID:3393"
"47","HGNC:12680","DOID:10964"
"48","HGNC:12428","DOID:3770"
"49","HGNC:11892","DOID:11394"
"50","HGNC:11904","DOID:4450"
"51","HGNC:11916","DOID:2394"
"52","HGNC:12776","DOID:4450"
"53","HGNC:11917","DOID:1380"
"54","HGNC:12541","DOID:4947"
"55","HGNC:11909","DOID:12466"
"56","HGNC:11916","DOID:13141"
"57","HGNC:11892","DOID:3908"
"58","HGNC:11876","DOID:11132"
"59","HGNC:12519","DOID:9352"
"60","HGNC:12516","DOID:11984"
"61","HGNC:18414","DOID:1936"
"62","HGNC:4055","DOID:1749"
"63","HGNC:12679","DOID:4914"
"64","HGNC:11896","DOID:684"
"65","HGNC:11896","DOID:684"
"66","HGNC:11896","DOID:684"
"67","HGNC:11998","DOID:2513"
"68","HGNC:11892","DOID:6000"
"69","HGNC:12680","DOID:4450"
"70","HGNC:11912","DOID:2349"
"71","HGNC:11916","DOID:8893"
"72","HGNC:11892","DOID:3083"
"73","HGNC:11892","DOID:3083"
"74","HGNC:11925","DOID:9744"
"75","HGNC:12680","DOID:684"
"76","HGNC:12680","DOID:684"
"77","HGNC:12680","DOID:684"
"78","HGNC:12680","DOID:684"
"79","HGNC:12680","DOID:684"
"80","HGNC:11998","DOID:0050902"
"81","HGNC:12680","DOID:0080600"
"82","HGNC:11892","DOID:8536"
"83","HGNC:11896","DOID:5517"
"84","HGNC:11939","DOID:9256"
"85","HGNC:12680","DOID:10763"
"86","HGNC:25522","DOID:1984"
"87","HGNC:12787","DOID:11054"
"88","HGNC:12784","DOID:2871"
"89","HGNC:12680","DOID:5844"
"90","HGNC:12591","DOID:1612"
"91","HGNC:11892","DOID:9884"
"92","HGNC:12680","DOID:0060074"
"93","HGNC:17760","DOID:874"
"94","HGNC:17760","DOID:874"
"95","HGNC:11892","DOID:0080600"
"96","HGNC:11892","DOID:0080600"
"97","HGNC:11892","DOID:0080600"
"98","HGNC:11892","DOID:0080600"
"99","HGNC:11892","DOID:0080600"
"100","HGNC:11892","DOID:12930"
"101","HGNC:3148","DOID:4948"
"102","HGNC:18081","DOID:0050685"
"103","HGNC:12692","DOID:10652"
"104","HGNC:11998","DOID:10964"
"105","HGNC:5318","DOID:10320"
"106","HGNC:12458","DOID:1520"
"107","HGNC:11989","DOID:0060074"
"108","HGNC:11909","DOID:783"
"109","HGNC:12003","DOID:684"
"110","HGNC:12003","DOID:684"
"111","HGNC:12003","DOID:684"
"112","HGNC:12003","DOID:684"
"113","HGNC:12003","DOID:684"
"114","HGNC:12003","DOID:11054"
"115","HGNC:11892","DOID:0080208"
"116","HGNC:11892","DOID:11396"
"117","HGNC:25522","DOID:9261"
"118","HGNC:11998","DOID:1749"
"119","HGNC:11998","DOID:1749"
"120","HGNC:11917","DOID:1074"
"121","HGNC:11918","DOID:3744"
"122","HGNC:11998","DOID:5773"
"123","HGNC:11892","DOID:14453"
"124","HGNC:11896","DOID:219"
"125","HGNC:11896","DOID:219"
"126","HGNC:3708","DOID:4001"
"127","HGNC:11892","DOID:1270"
"128","HGNC:12680","DOID:2841"
"129","HGNC:12485","DOID:11054"
"130","HGNC:11892","DOID:0050452"
"131","HGNC:11998","DOID:0080202"
"132","HGNC:11917","DOID:841"
"133","HGNC:25522","DOID:9256"
"134","HGNC:12680","DOID:8505"
"135","HGNC:3148","DOID:2394"
"136","HGNC:3148","DOID:2394"
"137","HGNC:5318","DOID:13100"
"138","HGNC:11998","DOID:3702"
"139","HGNC:12796","DOID:2154"
"140","HGNC:12680","DOID:2048"
"141","HGNC:11892","DOID:2394"
"142","HGNC:12680","DOID:0060181"
"143","HGNC:11892","DOID:0080162"
"144","HGNC:12680","DOID:0060688"
"145","HGNC:12663","DOID:784"
"146","HGNC:11917","DOID:1520"
"147","HGNC:12435","DOID:8805"
"148","HGNC:17760","DOID:14115"
"149","HGNC:11917","DOID:2394"
"150","HGNC:777","DOID:4362"
"151","HGNC:25522","DOID:3908"
"152","HGNC:11892","DOID:557"
"153","HGNC:12680","DOID:9261"
"154","HGNC:12680","DOID:9261"
"155","HGNC:12680","DOID:8893"
"156","HGNC:12680","DOID:8893"
"157","HGNC:12663","DOID:10763"
"158","HGNC:11892","DOID:11656"
"159","HGNC:17760","DOID:0050697"
"160","HGNC:11892","DOID:10964"
"161","HGNC:12636","DOID:2841"
"162","HGNC:12304","DOID:12858"
"163","HGNC:11892","DOID:11168"
"164","HGNC:12516","DOID:6000"
"165","HGNC:11998","DOID:3744"
"166","HGNC:15971","DOID:1612"
"167","HGNC:12680","DOID:6039"
"168","HGNC:12381","DOID:4440"
"169","HGNC:12783","DOID:2871"
"170","HGNC:3708","DOID:11054"
"171","HGNC:3148","DOID:3587"
"172","HGNC:11892","DOID:2841"
"173","HGNC:12338","DOID:6432"
"174","HGNC:12855","DOID:684"
"175","HGNC:12680","DOID:418"
"176","HGNC:12680","DOID:418"
"177","HGNC:12680","DOID:418"
"178","HGNC:12680","DOID:418"
"179","HGNC:11917","DOID:10652"
"180","HGNC:11917","DOID:10652"
"181","HGNC:11892","DOID:614"
"182","HGNC:25522","DOID:3748"
"183","HGNC:12636","DOID:114"
"184","HGNC:12680","DOID:7148"
"185","HGNC:11892","DOID:0060643"
"186","HGNC:16265","DOID:127"
"187","HGNC:11909","DOID:10763"
"188","HGNC:12679","DOID:0080208"
"189","HGNC:26066","DOID:12858"
"190","HGNC:11916","DOID:2921"
"191","HGNC:11916","DOID:2921"
"192","HGNC:11892","DOID:526"
"193","HGNC:3148","DOID:4450"
"194","HGNC:3148","DOID:4450"
"195","HGNC:12680","DOID:2596"
"196","HGNC:12516","DOID:12930"
"197","HGNC:12516","DOID:12930"
"198","HGNC:11892","DOID:635"
"199","HGNC:11916","DOID:0050157"
"200","HGNC:11998","DOID:3114"
"201","HGNC:12003","DOID:2671"
"202","HGNC:11892","DOID:12895"
"203","HGNC:18414","DOID:6000"
"204","HGNC:11892","DOID:2917"
"205","HGNC:12680","DOID:10584"
"206","HGNC:17760","DOID:9120"
"207","HGNC:12680","DOID:0111253"
"208","HGNC:11877","DOID:3587"
"209","HGNC:12724","DOID:8947"
"210","HGNC:12680","DOID:3393"
"211","HGNC:11916","DOID:9970"
"212","HGNC:11892","DOID:9120"
"213","HGNC:12663","DOID:0080162"
"214","HGNC:11892","DOID:5614"
"215","HGNC:11892","DOID:8463"
"216","HGNC:18084","DOID:8881"
"217","HGNC:12786","DOID:127"
"218","HGNC:592","DOID:3007"
"219","HGNC:11892","DOID:12236"
"220","HGNC:11892","DOID:12236"
"221","HGNC:12680","DOID:3179"
"222","HGNC:12680","DOID:4440"
"223","HGNC:12780","DOID:2871"
"224","HGNC:5318","DOID:6432"
"225","HGNC:5318","DOID:6432"
"226","HGNC:11998","DOID:0002116"
"227","HGNC:11892","DOID:874"
"228","HGNC:11909","DOID:4248"
"229","HGNC:11892","DOID:1588"
"230","HGNC:11896","DOID:9261"
"231","HGNC:12726","DOID:1312"
"232","HGNC:11892","DOID:6432"
"233","HGNC:11892","DOID:6432"
"234","HGNC:12335","DOID:6432"
"235","HGNC:11998","DOID:4467"
"236","HGNC:11998","DOID:3908"
"237","HGNC:12680","DOID:0002116"
"238","HGNC:11998","DOID:11054"
"239","HGNC:12680","DOID:1687"
"240","HGNC:11917","DOID:13406"
"241","HGNC:12680","DOID:13025"
"242","HGNC:3148","DOID:3307"
"243","HGNC:12726","DOID:9970"
"244","HGNC:12726","DOID:9970"
"245","HGNC:11892","DOID:1612"
"246","HGNC:15979","DOID:8634"
"247","HGNC:5318","DOID:3068"
"248","HGNC:12680","DOID:841"
"249","HGNC:12852","DOID:11949"
"250","HGNC:12852","DOID:11949"
"251","HGNC:12852","DOID:11949"
"252","HGNC:12403","DOID:12930"
"253","HGNC:3148","DOID:1380"
"254","HGNC:11989","DOID:11624"
"255","HGNC:11628","DOID:8719"
"256","HGNC:12591","DOID:3132"
"257","HGNC:12680","DOID:8947"
"258","HGNC:12680","DOID:3512"
"259","HGNC:11892","DOID:14067"
"260","HGNC:11998","DOID:1240"
"261","HGNC:12003","DOID:0060081"
"262","HGNC:11892","DOID:0110429"
"263","HGNC:15466","DOID:10283"
"264","HGNC:15466","DOID:10283"
"265","HGNC:11985","DOID:6000"
"266","HGNC:11892","DOID:633"
"267","HGNC:11892","DOID:0050475"
"268","HGNC:11909","DOID:3407"
"269","HGNC:12636","DOID:3407"
"270","HGNC:12663","DOID:2224"
"271","HGNC:12680","DOID:3042"
"272","HGNC:12680","DOID:3908"
"273","HGNC:12693","DOID:8577"
